# H	I
154.508581818182      -0.842484431789245
145.323445454545      -0.857778461626885
149.7965      -0.846120795425608
153.825672727273      -0.853381253327777
154.645163636364      -0.84965266585403
152.220836363636      -0.870496099266153
155.089054545455      -0.846622362823727
154.576872727273      -0.849673588443642
154.337854545455      -0.846232752434117
154.645163636364      -0.853452554575549
155.430509090909      -0.842985999187363
154.815890909091      -0.860582679352733
150.684281818182      -0.846622362823727
153.108618181818      -0.854315721158797
153.791527272727      -0.833080043074511
154.372      -0.846551061575955
154.679309090909      -0.847123930221846
155.089054545455      -0.843504553716613
154.850036363636      -0.843805875727321
153.791527272727      -0.857129573972649
154.542727272727      -0.850187425212319
155.464654545455      -0.853493210336286
154.611018181818      -0.84679335170945
153.689090909091      -0.85386444460942
154.440290909091      -0.836286140560527
154.645163636364      -0.853605167344795
154.337854545455      -0.853823788848683
153.450072727273      -0.842237423895178
154.542727272727      -0.847123930221846
154.7476      -0.843097956195872
153.347636363636      -0.860694636361241
150.411118181818      -0.846663018584464
154.645163636364      -0.864000421485208
154.815890909091      -0.839461592559509
154.269563636364      -0.857388851237275
153.108618181818      -0.839851202949119
153.415927272727      -0.850688992610438
151.196463636364      -0.839532893807281
150.376972727273      -0.850688992610438
153.791527272727      -0.843209913204381
153.347636363636      -0.853935745857191
152.767163636364      -0.846993597096861
153.108618181818      -0.853329685251131
153.654945454545      -0.850948269875063
153.176909090909      -0.85386444460942
150.547709090909      -0.847123930221846
153.313490909091      -0.85386444460942
151.572072727273      -0.850688992610438
153.415927272727      -0.853296493290961
152.050109090909      -0.864773535518511
151.128181818182      -0.842491895589812
152.801309090909      -0.850299382220828
153.6208      -0.836657374833661
148.703845454545      -0.854788814357319
153.279345454545      -0.836657374833661
152.630581818182      -0.854325356246802
153.415927272727      -0.836586073585889
151.230618181818      -0.847658689580135
152.664727272727      -0.839963159957628
152.528145454545      -0.853935745857191
151.913527272727      -0.833021011197297
151.811090909091      -0.85425405499903
152.1184      -0.836586073585889
150.206254545455      -0.847554196372194
150.820872727273      -0.833451277347645
151.606218181818      -0.850299382220828
150.957454545455      -0.843858800858616
150.547709090909      -0.850800949618947
149.557481818182      -0.843858800858616
149.967236363636      -0.850411339229337
151.059890909091      -0.843930102106388
151.162327272727      -0.837087640984008
147.269736363636      -0.844289067008964
150.9916      -0.837016339736236
149.181890909091      -0.851019571122835
150.2404      -0.843858800858616
149.250181818182      -0.847164585982583
150.718436363636      -0.833522578595416
150.172109090909      -0.851060226883572
149.796509090909      -0.840393426107975
149.420909090909      -0.858332954156299
150.206254545455      -0.833522578595416
150.035527272727      -0.850800949618947
147.679481818182      -0.834057337953705
149.455054545455      -0.850800949618947
148.977018181818      -0.834128639201477
149.455054545455      -0.847666153380703
148.533127272727      -0.837016339736236
145.221009090909      -0.851302517017066
148.089236363636      -0.840724004620372
148.259963636364      -0.844301336379522
147.679490909091      -0.837087640984008
147.645345454545      -0.847594852132931
147.816072727273      -0.831027034923402
146.757554545455      -0.840464727355747
146.313672727273      -0.847925430645327
147.064872727273      -0.846929759649656
145.562472727273      -0.847666153380703
144.503963636364      -0.847034252857598
146.211236363636      -0.847925430645327
145.699054545455      -0.833244925214315
144.025927272727      -0.851561794281691
144.401518181818      -0.840334394230761
145.118581818182      -0.847666153380703
143.923481818182      -0.833952844745764
145.323454545455      -0.854537000893261
145.084436363636      -0.847607121503489
144.845418181818      -0.854477969016048
145.664909090909      -0.837199597992517
142.762545454546      -0.847060092774642
145.050290909091      -0.833952844745764
143.582036363636      -0.844029789744339
144.162509090909      -0.830718360869568
138.426054545455      -0.847001060897428
143.957636363636      -0.840724004620372
142.830827272727      -0.85056612328602
144.401527272727      -0.830647059621797
142.318645454545      -0.844401024017472
142.660109090909      -0.833781855860041
143.172290909091      -0.840764660381109
142.660109090909      -0.840983281884997
142.762545454545      -0.837199597992517
140.4748      -0.840724004620372
142.864981818182      -0.834169294962214
139.723590909091      -0.844289067008964
142.284509090909      -0.837128296744745
139.621154545455      -0.837919786894524
140.918690909091      -0.83738757400937
139.518727272727      -0.857225326152119
139.860181818182      -0.830687715382534
139.689454545455      -0.844790634407083
138.801663636364      -0.837960442655261
135.489554545455      -0.844472325265244
139.313854545455      -0.830328750479958
137.504145454545      -0.854017057378665
137.572427272727      -0.83428342325816
137.265127272727      -0.840835961628881
138.152909090909      -0.841166540141277
136.650509090909      -0.841266227779228
136.6505      -0.837458875257142
135.113954545455      -0.848396352556412
136.104181818182      -0.837458875257142
135.728581818182      -0.83449506790462
132.792063636364      -0.834212122010389
134.260318181818      -0.841266227779228
131.153045454545      -0.834212122010389
131.767681818182      -0.840876617389618
127.567718181818      -0.844401024017472
126.133609090909      -0.834324079018897
121.899572727273      -0.83389381286855
118.041136363636      -0.827901873773162
114.5583      -0.834454412143883
111.416918181818      -0.827624220392061
105.475609090909      -0.827293641879664
100.183054545455      -0.820422794367106
96.5295      -0.830818048507519
91.5783090909091      -0.823728579491073
85.1589636363636      -0.823486289357578
79.0810727272727      -0.823987856755697
73.0031818181818      -0.830930005516028
67.5399090909091      -0.817782101726413
60.0279      -0.816786430730742
50.4329363636364      -0.809974615095397
46.4720636363636      -0.816786430730742
35.5455090909091      -0.800002163304763
29.4334727272727      -0.813722935740269
25.0970090909091      -0.786459843555547
14.4094090909091      -0.785698998892803
9.83389090909091      -0.7963657996684
2.32189090909091      -0.79297172616553
-6.07789090909091      -0.767919060471153
-14.3752454545455      -0.778828151380244
-23.7994545454545      -0.772275613009524
-29.9456636363636      -0.776057125614566
-35.7845363636364      -0.75484245792931
-43.1941      -0.762155840962774
-51.6280272727273      -0.747569730656583
-60.6425272727273      -0.741086322246197
-68.4618363636364      -0.737162207145611
-76.8274818181818      -0.730968721486885
-84.4077636363637      -0.727115907634071
-91.8173363636364      -0.720632499223685
-100.900118181818      -0.720026438617624
-108.036518181818      -0.700283169409115
-118.553327272727      -0.700207062591352
-124.050736363636      -0.68662889265139
-133.065209090909      -0.69204061105776
-140.269927272727      -0.665826115000004
-149.898945454545      -0.672266696362216
-157.547527272727      -0.648281002911281
-166.015609090909      -0.654876368330176
-173.322827272727      -0.630890674879242
-181.210427272727      -0.645146206673037
-189.371190909091      -0.616918088979679
-197.292936363636      -0.610824290958903
-206.068363636364      -0.589555309157006
-214.434054545455      -0.569229647972041
-222.970418181818      -0.561916264938577
-231.779945454545      -0.531589677763382
-241.272390909091      -0.397843001549437
-247.725972727273      -0.043859902467684
-259.472018181818      0.197539244823036
-263.603609090909      0.328015092044227
-275.7594      0.40745388608564
-280.744663636364      0.465545045034258
-288.905490909091      0.48647204906471
-296.622363636364      0.528054422681013
-309.631790909091      0.531560453192391
-313.080472727273      0.545097967371617
-323.221763636364      0.555434189634817
-330.870354545454      0.575783519449387
-339.475009090909      0.576460881303219
-347.294318181818      0.600028490164946
-357.162409090909      0.587115412708258
-367.132936363636      0.607648000779109
-373.962018181818      0.607293753637106
-380.654527272727      0.627885373585171
-388.712854545455      0.628320445305509
-398.888290909091      0.652306138756443
-405.375936363636      0.648239508969732
-413.673281818182      0.666131404399891
-422.277936363636      0.662107601661354
-431.838709090909      0.679497929693393
-438.292254545455      0.679110490591221
-448.262727272727      0.686628054470577
-455.774727272727      0.693182764128735
-464.481818181818      0.700671941617912
-471.857336363636      0.714209455797138
-481.247336363636      0.724156067670728
-489.920281818182      0.737919667154408
-499.1737      0.734993857332047
-505.524763636364      0.752096433899864
-514.266090909091      0.748464875833491
-524.202418181818      0.762173378898439
-532.6022      0.765822011905361
-539.533727272727      0.782534978083567
-547.489718181818      0.789955025612411
-557.050445454545      0.803492539791636
-564.767318181818      0.800462236761333
-572.689063636364      0.824447930212267
-581.020572727273      0.817393824443428
-589.591163636364      0.838461171872568
-598.229963636364      0.831608700476486
-608.883354545455      0.855204783537809
-617.317281818182      0.84815067776897
-625.751309090909      0.869607635587721
-630.360936363636      0.862118545907962
-639.682645454545      0.886496396221641
-647.1605      0.883468264478775
-655.901754545455      0.896297859126552
-663.550418181818      0.900787291263043
-673.145290909091      0.917324550794955
-680.828018181818      0.928480649598112
-690.218027272727      0.934790897835338
-697.627681818182      0.932045711986704
-708.793254545455      0.945093928138368
-713.710190909091      0.962267805953958
-721.939245454545      0.95550145164934
-728.256154545455      0.976599356756097
-735.153581818182      0.965619052408652
-735.495090909091      0.979344542604731
-735.938981818182      0.969645026434626
-734.675590909091      0.975850781463911
-736.519436363636      0.973469366087843
-731.465863636364      0.979415843852502
-729.178090909091      0.969474037548904
-726.173281818182      0.969469231978913
-724.841618181818      0.969904303699251
-718.832009090909      0.972214417827547
-713.983354545455      0.955819760791179
-709.954190909091      0.968377808803772
-704.661645454546      0.952399847371265
-700.188590909091      0.955170873136943
-695.442336363637      0.945412237280207
-695.271563636364      0.937780545104904
-684.584018181818      0.938574581727818
-679.632927272727      0.931297136694518
-673.213581818182      0.925062907465636
-668.9454      0.917141292538674
-662.116309090909      0.90695239053159
-656.345654545455      0.906776683885295
-651.736      0.900787291263043
-645.862972727273      0.896791962724104
-639.170463636364      0.897077079905773
-632.307227272727      0.876053022519923
-626.775663636364      0.868663532668696
-620.970918181818      0.865604843248214
-613.732      0.868734833916468
-607.688254545455      0.851962835861047
-602.668872727273      0.845283899823822
-596.112945454545      0.841514656589338
-588.361927272727      0.837476413192806
-581.805927272727      0.828076830048063
-582.113236363636      0.823575128541015
-568.762336363636      0.814322865652388
-561.728372727273      0.817167739138973
-556.026081818182      0.800350279752824
-548.343354545455      0.792388009065125
-541.719045454545      0.804262125482852
-536.870381818182      0.782558159770035
-528.675472727273      0.769868908520946
-522.665872727273      0.76890388301231
-514.300236363636      0.752478580488907
-507.573554545455      0.758066093350991
-500.915118181818      0.745277154463951
-493.710427272727      0.730197028369627
-486.539881818182      0.738147029686768
-480.325409090909      0.73732715314681
-474.315809090909      0.741640790827588
-465.642772727273      0.713843027093995
-457.891745454546      0.706817307715335
-452.838227272727      0.692702207129646
-447.374954545455      0.699615881690379
-440.682445454545      0.682513305122562
-428.765581818182      0.69227185316988
-421.287718181818      0.672507661371759
-414.595209090909      0.661657602339882
-406.741754545455      0.655492503071334
-399.059027272727      0.65809253995129
-394.210281818182      0.645374902312022
-385.298309090909      0.633776267987959
-377.069254545455      0.630972050262111
-370.547472727273      0.633847569235731
-362.489145454545      0.623587365980875
-354.806327272727      0.609439073435017
-348.421127272727      0.610981685350116
-340.123772727273      0.60277240676835
-332.577627272727      0.593273048176238
-325.885118181818      0.586418405492719
-316.973054545454      0.578929228003541
-312.909754545455      0.567844430448155
-301.710036363636      0.558549252701936
-294.573636363636      0.555238749817396
-289.895718181818      0.554984190313344
-283.954336363636      0.555126792808888
-271.627790909091      0.53733458501668
-264.218227272727      0.533522514734021
-256.125754545455      0.533698221380316
-251.584418181818      0.520303309696634
-240.930927272727      0.509928978145832
-233.862818181818      0.51716851345839
-226.145945454545      0.50575785515118
-219.385145454545      0.496676581148276
-209.687836363636      0.498874738268063
-202.824509090909      0.493182820007456
-194.868609090909      0.481479692475451
-187.561481818182      0.4692255129467
-179.605590909091      0.474813025808785
-171.376536363636      0.465589149310337
-167.552154545455      0.447262269969259
-155.601236363636      0.451575907650036
-149.216036363636      0.440379153086142
-140.235781818182      0.437967092223039
-134.089581818182      0.43333251111787
-124.631209090909      0.427200603809492
-117.494809090909      0.43354896133432
-109.880372727273      0.423564240173128
-102.743972727273      0.416505416643716
-93.9344      0.409408396017284
-87.0711090909091      0.406097893132745
-79.5591090909091      0.399143475001856
-71.5690727272727      0.395260103471426
-64.3985272727273      0.381969597186267
-57.5352636363636      0.388778866348477
-49.1354181818182      0.39294998934313
-41.6234090909091      0.378977403443566
-34.0772636363636      0.375229082798694
-27.4530454545455      0.372035254683235
-23.6970363636364      0.381394182067241
-12.7704      0.362193136017587
-8.26320909090909      0.360826230748783
-0.443890909090909      0.357777551602003
4.33647272727273      0.357202136482977
10.4143636363636      0.351284045108496
12.5655272727273      0.355083933830015
15.2288727272727      0.351284045108496
15.7069090909091      0.343794955428737
17.3117727272727      0.344472229473151
16.9362      0.34396594431446
16.3216090909091      0.351172088099988
15.1264818181818      0.346753957211269
18.7800727272727      0.344301240587429
20.3166454545455      0.343619160973024
20.9312636363636      0.348141785069685
18.7459272727273      0.344008771362635
19.8044272727273      0.344360272464643
16.2191545454545      0.343937470114863
21.4775818181818      0.347607025711396
21.9556181818182      0.350749285750208
21.2044181818182      0.347607025711396
18.6093636363636      0.347718982719905
22.7409636363636      0.340405599686441
22.1605      0.351284045108496
23.0141272727273      0.343711384810407
20.3849090909091      0.337487253664646
21.9897636363636      0.344041963322804
24.0726454545455      0.344301240587429
22.2629090909091      0.343970662075032
20.2824818181818      0.348037291861743
23.5604636363636      0.347678326959168
24.8579909090909      0.347607025711396
24.6531181818182      0.34784931584489
25.1994454545455      0.348213086317457
24.2092181818182      0.333275474909257
25.0628636363636      0.340940359044729
22.0921909090909      0.340217623669587
26.0530818181818      0.344505421433321
26.0530818181818      0.340476900934212
26.4628272727273      0.340723908828279
25.4043181818182      0.344113264570576
26.4628272727273      0.337087545191915
26.1555181818182      0.337342104695968
27.0433      0.333451181555552
25.9164909090909      0.340476900934212
27.2823181818182      0.340535932811426
27.1798818181818      0.340476900934212
25.8482      0.347495068702887
26.9408636363636      0.340405599686441
27.7945      0.336987857553965
28.0335181818182      0.344576722681093
27.6579181818182      0.340607234059198
26.7018454545454      0.341011660292501
28.5457      0.340364943925704
28.9554454545455      0.337232694160594
26.9750090909091      0.336970870422834
28.5798454545455      0.333555674763493
28.3408272727273      0.343670729049671
28.7164272727273      0.337726797758146
27.6237727272727      0.333593784051096
29.0237363636364      0.343858705066524
29.3993363636364      0.337263339647629
30.0481      0.340828402036221
29.1603181818182      0.333263205538699
29.8432272727273      0.333555674763493
29.8090818181818      0.340364943925704
26.2920909090909      0.337192038399857
30.1505363636364      0.327100277557589
29.5700636363636      0.34022234143016
29.3993363636364      0.347495068702887
25.8823454545455      0.333686007888479
30.4578454545455      0.340293642677932
29.9798090909091      0.347164490190491
30.5944272727273      0.330492179773021
28.7164272727273      0.340352674555146
30.2871181818182      0.333698277259037
30.4237      0.343599427801899
