'H','M'
'-9,97E+02','-1,48E+02'
'-9,50E+02','-1,48E+02'
'-8,98E+02','-1,47E+02'
'-8,48E+02','-1,48E+02'
'-7,98E+02','-1,48E+02'
'-7,48E+02','-1,48E+02'
'-6,98E+02','-1,48E+02'
'-6,48E+02','-1,48E+02'
'-5,98E+02','-1,49E+02'
'-5,48E+02','-1,49E+02'
'-4,98E+02','-1,49E+02'
'-4,78E+02','-1,49E+02'
'-4,58E+02','-1,49E+02'
'-4,38E+02','-1,49E+02'
'-4,18E+02','-1,49E+02'
'-3,98E+02','-1,49E+02'
'-3,78E+02','-1,49E+02'
'-3,59E+02','-1,49E+02'
'-3,39E+02','-1,49E+02'
'-3,18E+02','-1,49E+02'
'-2,98E+02','-1,49E+02'
'-2,78E+02','-1,49E+02'
'-2,58E+02','-1,49E+02'
'-2,38E+02','-1,49E+02'
'-2,18E+02','-1,49E+02'
'-1,98E+02','-1,48E+02'
'-1,88E+02','-1,48E+02'
'-1,78E+02','-1,48E+02'
'-1,68E+02','-1,49E+02'
'-1,58E+02','-1,48E+02'
'-1,48E+02','-1,49E+02'
'-1,38E+02','-1,48E+02'
'-1,28E+02','-1,48E+02'
'-1,18E+02','-1,48E+02'
'-1,08E+02','-1,48E+02'
'-9,80E+01','-1,48E+02'
'-9,60E+01','-1,48E+02'
'-9,60E+01','-1,48E+02'
'-9,20E+01','-1,48E+02'
'-9,00E+01','-1,48E+02'
'-8,90E+01','-1,48E+02'
'-8,60E+01','-1,48E+02'
'-8,60E+01','-1,48E+02'
'-8,10E+01','-1,48E+02'
'-8,20E+01','-1,47E+02'
'-7,70E+01','-1,47E+02'
'-7,50E+01','-1,47E+02'
'-7,30E+01','-1,47E+02'
'-7,10E+01','-1,47E+02'
'-6,90E+01','-1,47E+02'
'-6,70E+01','-1,47E+02'
'-6,50E+01','-1,47E+02'
'-6,30E+01','-1,47E+02'
'-6,10E+01','-1,47E+02'
'-5,90E+01','-1,47E+02'
'-5,70E+01','-1,47E+02'
'-5,50E+01','-1,47E+02'
'-5,30E+01','-1,47E+02'
'-5,10E+01','-1,47E+02'
'-4,90E+01','-1,47E+02'
'-4,70E+01','-1,47E+02'
'-4,50E+01','-1,47E+02'
'-4,30E+01','-1,46E+02'
'-4,10E+01','-1,46E+02'
'-4,00E+01','-1,46E+02'
'-3,70E+01','-1,46E+02'
'-3,50E+01','-1,46E+02'
'-3,30E+01','-1,46E+02'
'-3,10E+01','-1,46E+02'
'-2,90E+01','-1,46E+02'
'-2,70E+01','-1,46E+02'
'-2,50E+01','-1,46E+02'
'-2,30E+01','-1,45E+02'
'-2,10E+01','-1,45E+02'
'-1,90E+01','-1,45E+02'
'-1,80E+01','-1,45E+02'
