H,Juan_C0-Hys-a000-RT.VHD,H,Juan_C0-Hys-a090-RT.VHD,H,Juan_C0-Hys-a180-RT.VHD
-53.000000E+0,-823.349400E-6,-53.000000E+0,-848.117600E-6,-53.000000E+0,-723.113100E-6
-51.000000E+0,-821.126900E-6,-51.000000E+0,-847.093400E-6,-51.000000E+0,-723.567900E-6
-49.000000E+0,-820.791700E-6,-49.000000E+0,-847.177600E-6,-49.000000E+0,-723.509200E-6
-47.000000E+0,-821.178900E-6,-47.000000E+0,-846.800600E-6,-47.000000E+0,-722.063800E-6
-45.000000E+0,-820.413000E-6,-45.000000E+0,-846.579300E-6,-45.000000E+0,-723.130700E-6
-43.000000E+0,-819.071300E-6,-43.000000E+0,-845.757500E-6,-43.000000E+0,-723.213600E-6
-41.000000E+0,-819.815800E-6,-41.000000E+0,-845.495500E-6,-41.000000E+0,-722.514100E-6
-40.000000E+0,-819.520200E-6,-39.000000E+0,-845.016900E-6,-40.000000E+0,-722.294600E-6
-37.000000E+0,-817.924400E-6,-37.000000E+0,-844.031200E-6,-37.000000E+0,-721.794600E-6
-35.000000E+0,-816.316900E-6,-35.000000E+0,-842.711000E-6,-35.000000E+0,-720.491500E-6
-33.000000E+0,-815.511200E-6,-33.000000E+0,-844.138500E-6,-33.000000E+0,-720.676200E-6
-31.000000E+0,-814.973900E-6,-31.000000E+0,-842.859400E-6,-31.000000E+0,-718.052700E-6
-29.000000E+0,-816.807100E-6,-29.000000E+0,-842.799500E-6,-29.000000E+0,-719.074500E-6
-27.000000E+0,-815.014500E-6,-27.000000E+0,-841.216600E-6,-27.000000E+0,-719.118000E-6
-25.000000E+0,-814.820300E-6,-25.000000E+0,-839.871900E-6,-25.000000E+0,-718.295900E-6
-23.000000E+0,-813.869600E-6,-23.000000E+0,-840.169100E-6,-23.000000E+0,-716.685400E-6
-21.000000E+0,-813.019800E-6,-21.000000E+0,-836.990900E-6,-21.000000E+0,-717.151300E-6
-19.000000E+0,-813.518200E-6,-19.000000E+0,-837.731800E-6,-19.000000E+0,-716.118100E-6
-18.000000E+0,-812.540800E-6,-17.000000E+0,-836.996000E-6,-17.000000E+0,-715.009400E-6
-15.000000E+0,-811.408100E-6,-15.000000E+0,-836.438000E-6,-15.000000E+0,-715.193500E-6
-13.000000E+0,-808.780700E-6,-13.000000E+0,-834.185900E-6,-13.000000E+0,-713.353700E-6
-11.000000E+0,-809.323700E-6,-11.000000E+0,-834.656500E-6,-11.000000E+0,-712.754100E-6
