H,Juan_C0-Hys-a000-RT.VHD,H,Juan_C0-Hys-a090-RT.VHD,H,Juan_C0-Hys-a180-RT.VHD
-27.000000E+0,-786.540800E-6,-27.000000E+0,-810.644900E-6,-27.000000E+0,-692.456500E-6
-29.000000E+0,-788.293100E-6,-29.000000E+0,-814.310900E-6,-29.000000E+0,-695.303200E-6
-31.000000E+0,-791.663300E-6,-31.000000E+0,-816.861000E-6,-31.000000E+0,-696.896500E-6
-33.000000E+0,-792.595400E-6,-33.000000E+0,-818.819400E-6,-33.000000E+0,-698.877000E-6
-35.000000E+0,-795.584900E-6,-35.000000E+0,-821.001500E-6,-35.000000E+0,-700.851600E-6
-37.000000E+0,-796.697700E-6,-37.000000E+0,-823.408300E-6,-37.000000E+0,-701.291600E-6
-39.000000E+0,-798.295000E-6,-39.000000E+0,-823.863200E-6,-39.000000E+0,-703.150900E-6
-41.000000E+0,-799.268600E-6,-41.000000E+0,-825.636800E-6,-41.000000E+0,-705.512400E-6
-43.000000E+0,-801.230300E-6,-43.000000E+0,-826.882400E-6,-43.000000E+0,-705.559900E-6
-45.000000E+0,-800.908900E-6,-45.000000E+0,-829.308500E-6,-45.000000E+0,-707.994600E-6
-47.000000E+0,-803.182900E-6,-47.000000E+0,-829.594200E-6,-47.000000E+0,-708.358000E-6
-49.000000E+0,-803.917800E-6,-49.000000E+0,-830.470400E-6,-49.000000E+0,-708.291100E-6
-52.000000E+0,-803.591700E-6,-51.000000E+0,-831.622300E-6,-51.000000E+0,-708.609900E-6
-53.000000E+0,-803.920600E-6,-53.000000E+0,-833.185300E-6,-53.000000E+0,-710.065800E-6
-55.000000E+0,-805.782700E-6,-56.000000E+0,-831.775600E-6,-55.000000E+0,-711.040600E-6
-57.000000E+0,-806.083800E-6,-57.000000E+0,-835.499000E-6,-57.000000E+0,-709.199400E-6
-59.000000E+0,-807.467500E-6,-59.000000E+0,-837.420000E-6,-59.000000E+0,-711.778400E-6
-61.000000E+0,-807.124600E-6,-61.000000E+0,-836.767600E-6,-61.000000E+0,-710.728900E-6
-63.000000E+0,-808.260800E-6,-63.000000E+0,-835.961600E-6,-63.000000E+0,-712.922400E-6
-65.000000E+0,-809.959500E-6,-65.000000E+0,-838.668600E-6,-65.000000E+0,-713.866300E-6
-67.000000E+0,-809.505900E-6,-67.000000E+0,-839.065700E-6,-67.000000E+0,-713.426900E-6
-69.000000E+0,-809.817800E-6,-69.000000E+0,-839.895300E-6,-69.000000E+0,-714.267900E-6
-71.000000E+0,-810.604600E-6,-71.000000E+0,-840.443800E-6,-71.000000E+0,-716.597200E-6
-73.000000E+0,-810.956500E-6,-73.000000E+0,-840.040500E-6,-73.000000E+0,-715.590900E-6
-75.000000E+0,-812.579200E-6,-75.000000E+0,-842.763000E-6,-75.000000E+0,-715.565700E-6
-77.000000E+0,-810.619800E-6,-77.000000E+0,-842.508000E-6,-77.000000E+0,-716.443300E-6
-79.000000E+0,-813.073100E-6,-79.000000E+0,-842.151200E-6,-79.000000E+0,-716.351300E-6
-81.000000E+0,-813.344900E-6,-81.000000E+0,-842.892900E-6,-81.000000E+0,-716.570200E-6
-83.000000E+0,-812.366400E-6,-83.000000E+0,-843.181100E-6,-83.000000E+0,-716.559100E-6
-85.000000E+0,-813.447300E-6,-85.000000E+0,-841.961400E-6,-85.000000E+0,-718.415300E-6
-87.000000E+0,-814.481900E-6,-87.000000E+0,-844.777500E-6,-87.000000E+0,-720.169200E-6
-89.000000E+0,-814.958600E-6,-89.000000E+0,-845.222700E-6,-89.000000E+0,-719.656600E-6
-91.000000E+0,-814.628900E-6,-91.000000E+0,-845.593800E-6,-91.000000E+0,-718.183400E-6
-93.000000E+0,-814.831600E-6,-93.000000E+0,-846.724700E-6,-93.000000E+0,-720.788000E-6
-95.000000E+0,-815.354200E-6,-95.000000E+0,-845.923200E-6,-95.000000E+0,-720.010200E-6
-97.000000E+0,-814.332600E-6,-97.000000E+0,-845.931100E-6,-97.000000E+0,-719.219100E-6
-107.000000E+0,-816.726100E-6,-107.000000E+0,-848.806600E-6,-107.000000E+0,-721.117800E-6
-117.000000E+0,-818.051300E-6,-117.000000E+0,-848.736200E-6,-117.000000E+0,-722.088800E-6
-127.000000E+0,-818.523700E-6,-127.000000E+0,-850.555700E-6,-127.000000E+0,-723.379400E-6
-137.000000E+0,-821.604400E-6,-137.000000E+0,-851.358600E-6,-137.000000E+0,-722.669900E-6
-147.000000E+0,-821.419800E-6,-147.000000E+0,-852.959200E-6,-147.000000E+0,-724.716400E-6
-157.000000E+0,-822.921200E-6,-157.000000E+0,-852.025000E-6,-157.000000E+0,-724.247900E-6
-167.000000E+0,-823.185300E-6,-167.000000E+0,-852.331700E-6,-167.000000E+0,-725.718200E-6
-177.000000E+0,-824.508300E-6,-177.000000E+0,-852.996200E-6,-177.000000E+0,-727.264400E-6
-187.000000E+0,-824.449600E-6,-187.000000E+0,-853.927000E-6,-187.000000E+0,-727.324700E-6
-197.000000E+0,-825.861500E-6,-197.000000E+0,-854.966400E-6,-197.000000E+0,-726.358500E-6
-217.000000E+0,-825.366500E-6,-217.000000E+0,-855.743300E-6,-217.000000E+0,-726.916500E-6
-237.000000E+0,-825.548500E-6,-237.000000E+0,-856.251600E-6,-237.000000E+0,-729.384400E-6
-257.000000E+0,-825.247900E-6,-257.000000E+0,-857.090000E-6,-257.000000E+0,-728.934700E-6
-277.000000E+0,-827.119300E-6,-277.000000E+0,-859.302000E-6,-277.000000E+0,-728.733900E-6
-297.000000E+0,-826.824000E-6,-297.000000E+0,-858.201000E-6,-297.000000E+0,-728.604600E-6
-317.000000E+0,-826.992500E-6,-317.000000E+0,-858.043400E-6,-317.000000E+0,-729.146500E-6
-337.000000E+0,-827.716900E-6,-338.000000E+0,-858.551900E-6,-337.000000E+0,-729.005700E-6
-357.000000E+0,-827.072900E-6,-357.000000E+0,-858.078400E-6,-357.000000E+0,-728.671600E-6
-377.000000E+0,-829.380000E-6,-377.000000E+0,-859.316000E-6,-377.000000E+0,-727.419200E-6
-397.000000E+0,-828.323300E-6,-397.000000E+0,-860.355900E-6,-397.000000E+0,-727.926700E-6
-417.000000E+0,-827.487100E-6,-418.000000E+0,-859.563300E-6,-417.000000E+0,-728.077500E-6
-437.000000E+0,-828.908300E-6,-437.000000E+0,-858.946900E-6,-437.000000E+0,-727.063500E-6
-458.000000E+0,-828.079900E-6,-457.000000E+0,-858.750200E-6,-457.000000E+0,-728.799900E-6
-477.000000E+0,-828.778800E-6,-477.000000E+0,-860.444800E-6,-477.000000E+0,-727.475300E-6
-498.000000E+0,-829.403400E-6,-497.000000E+0,-858.898500E-6,-497.000000E+0,-727.242900E-6
-547.000000E+0,-827.803900E-6,-547.000000E+0,-859.004600E-6,-547.000000E+0,-727.597000E-6
-597.000000E+0,-827.019000E-6,-597.000000E+0,-859.527300E-6,-597.000000E+0,-727.105800E-6
-647.000000E+0,-828.220100E-6,-647.000000E+0,-859.212700E-6,-647.000000E+0,-726.402300E-6
-697.000000E+0,-827.615300E-6,-697.000000E+0,-860.106700E-6,-697.000000E+0,-726.916500E-6
-747.000000E+0,-827.203500E-6,-747.000000E+0,-859.664200E-6,-747.000000E+0,-727.009900E-6
-797.000000E+0,-826.560000E-6,-797.000000E+0,-857.987000E-6,-797.000000E+0,-725.506300E-6
-847.000000E+0,-826.297200E-6,-847.000000E+0,-857.456300E-6,-847.000000E+0,-726.545000E-6
-897.000000E+0,-826.676400E-6,-897.000000E+0,-856.964400E-6,-897.000000E+0,-724.279800E-6
-947.000000E+0,-825.307300E-6,-947.000000E+0,-857.332900E-6,-947.000000E+0,-723.866800E-6
-997.000000E+0,-825.362600E-6,-997.000000E+0,-858.162200E-6,-996.000000E+0,-723.167100E-6
